City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,colares,38.7992,-9.4469,17.72,75,0,2.24,PT,1706813828
296,xilin hot,43.9667,116.0333,-22.65,88,100,1.93,CN,1706813828
297,benguela,-12.5763,13.4055,26.72,82,100,3.73,AO,1706813828
298,dryden,49.7833,-92.7503,-4.84,80,100,3.09,CA,1706813829
299,badr hunayn,23.7829,38.7905,16.05,43,0,4.21,SA,1706813829
300,hamilton,39.1834,-84.5333,12.57,63,0,5.66,US,1706813345
301,tete,-16.1564,33.5867,30.05,58,40,4.63,MZ,1706813830
302,sala,34.0389,-6.8166,17.02,94,0,0.0,MA,1706813830
303,kindu,-2.95,25.95,23.75,80,99,1.41,CD,1706813830
304,tolanaro,-25.0319,46.9987,25.04,78,75,8.23,MG,1706813831
305,mount isa,-20.7333,139.5,25.87,83,100,3.6,AU,1706813831
306,rundu,-17.9333,19.7667,22.72,65,100,2.02,NA,1706813831
307,westport,41.1415,-73.3579,7.4,71,100,4.12,US,1706813810
308,karratha,-20.7377,116.8463,29.13,59,98,2.59,AU,1706813832
309,remire-montjoly,4.9167,-52.2667,31.02,58,20,4.63,GF,1706813832
310,colon,9.3592,-79.9014,25.55,69,100,6.71,PA,1706813684
311,polyarnyy,69.1989,33.4478,-0.54,86,100,9.63,RU,1706813833
312,talara,-4.5772,-81.2719,29.42,65,75,6.17,PE,1706813793
313,menaka,15.9182,2.4022,24.53,13,97,5.92,ML,1706813833
314,arno,60.1167,18.6333,1.55,73,53,7.12,SE,1706813833
315,sungjibaegam,41.2428,128.7989,-18.5,67,62,1.41,KP,1706813834
316,chanika,-5.4167,38.0167,21.02,99,100,1.4,TZ,1706813834
317,matoury,4.8483,-52.3317,30.98,58,20,4.63,GF,1706813834
318,sorong,-0.8833,131.25,27.02,83,100,1.74,ID,1706813835
319,paita,-5.0892,-81.1144,26.97,70,62,5.21,PE,1706813835
320,inhambane,-23.865,35.3833,25.99,88,20,4.63,MZ,1706813835
321,buka,40.8108,69.1986,0.48,78,100,3.11,UZ,1706813836
322,kavieng,-2.5744,150.7967,27.57,80,100,2.34,PG,1706813836
323,portland,45.5234,-122.6762,14.34,83,49,1.79,US,1706813830
324,quelimane,-17.8786,36.8883,26.97,88,40,2.68,MZ,1706813837
325,peniche,39.3558,-9.3811,15.6,78,9,3.68,PT,1706813837
326,kailua-kona,19.6406,-155.9956,26.39,74,75,2.57,US,1706813585
327,skovorodino,53.9833,123.9167,-31.41,100,86,1.24,RU,1706813837
328,levuka,50.1834,-105.4011,5.85,81,20,6.17,CA,1706813838
329,maktar,35.858,9.2007,5.91,82,24,1.84,TN,1706813838
330,ketchikan,55.3422,-131.6461,10.99,87,100,2.06,US,1706813754
331,candelaria,13.9311,121.4233,21.82,96,57,1.89,PH,1706813838
332,general pico,-35.6566,-63.7568,42.64,12,2,6.92,AR,1706813839
333,geraldton,-28.7667,114.6,27.23,32,0,4.63,AU,1706813839
334,porto novo,6.4965,2.6036,29.9,82,46,3.25,BJ,1706813658
335,san mariano,7.5,126.0,22.17,97,100,0.78,PH,1706813840
336,susuman,62.7833,148.1667,-26.12,100,100,0.45,RU,1706813840
337,san martin,-33.081,-68.4681,36.3,17,6,8.6,AR,1706813840
338,toliara,-23.35,43.6667,27.83,69,81,4.61,MG,1706813841
339,tidjikja,18.5564,-11.4271,24.49,12,100,4.57,MR,1706813841
340,bonny,4.4522,7.1681,27.85,81,100,5.12,NG,1706813657
341,worland,44.0169,-107.9554,9.82,70,0,1.54,US,1706813842
342,shahrak,34.1074,64.3052,-6.25,58,24,1.72,AF,1706813842
343,manado,1.487,124.8455,24.43,100,20,0.51,ID,1706813842
344,urengoy,65.9667,78.3667,-13.45,93,100,7.67,RU,1706813843
345,chaiyaphum,15.75,102.0,28.22,58,5,2.48,TH,1706813843
346,afaahiti,-17.75,-149.2833,28.93,76,84,7.61,PF,1706813843
347,gaspe,48.8334,-64.4819,-6.05,93,100,4.12,CA,1706813611
348,reggane,26.7158,0.1714,18.84,18,0,3.67,DZ,1706813844
349,katabu,-4.9333,122.5167,24.88,93,95,0.85,ID,1706813844
350,salekhard,66.53,66.6019,-14.05,96,100,3.73,RU,1706813844
351,jurilovca,44.7667,28.8667,3.05,56,0,3.78,RO,1706813845
352,rodolfo sanchez taboada,31.7167,-116.5667,12.83,80,100,5.81,MX,1706813845
353,cabo san lucas,22.8909,-109.9124,29.23,73,0,0.89,MX,1706813764
354,lorengau,-2.0226,147.2712,27.53,80,64,3.09,PG,1706813846
355,cangas del narcea,43.1833,-6.55,11.79,97,60,1.11,ES,1706813846
356,anadyr,64.75,177.4833,-17.72,85,100,10.0,RU,1706813846
357,yuzhno-kurilsk,44.0306,145.8556,-8.12,64,100,11.4,RU,1706813846
358,koundara,12.4833,-13.3,33.14,12,100,2.57,GN,1706813847
359,dunda,-8.1167,34.25,18.02,96,99,0.59,TZ,1706813847
360,turtas,58.9417,69.1325,-23.03,100,100,1.55,RU,1706813847
